Class Name - Live Objects,Live Bytes11,Live Bytes12,Live Objects1,size1,Live Bytes21,Live Bytes22,Live Objects2,size2,Live Bytes31,Live Bytes32,Live Objects3,size3
com.intellij.openapi.externalSystem.service.project.autoimport.ExternalSystemProjectsWatcherImpl$2,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.openapi.editor.impl.DocumentMarkupModelManager$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.lang.javascript.flex.run.FlashRunConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.lang.javascript.flex.flexunit.FlexUnitRunConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.lang.javascript.flex.build.FlexCompilerHandler$2,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.lang.javascript.buildTools.webpack.WebPackOutput,0.00%,16,1,16,0.00%,24,1,24,0.00%,32,2,16
com.intellij.lang.ant.config.execution.AntRunConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.javascript.jest.coverage.JestCoverageRunner,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.j2meplugin.run.J2MEConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.ide.scratch.ScratchFileServiceImpl$MyLanguages,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.ide.projectView.impl.ProjectViewImpl$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.ide.projectView.impl.AbstractProjectViewPane$2,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.ide.actionMacro.ActionMacroManager$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.gwt.run.GwtRunConfigurationType,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.execution.remote.RemoteConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.execution.applet.AppletConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.execution.JavaRunConfigurationExtensionManager,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.diagnostic.IdeMessagePanel$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.debugger.streams.lib.impl.StreamExLibrarySupportProvider,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.database.autoconfig.DatabaseConfigFileWatcher$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.coverage.CoverageDataManagerImpl$4,0.00%,16,1,16,0.00%,48,2,24,0.00%,16,1,16
com.intellij.configurationStore.ApplicationPathMacroManager,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.coldFusion.UI.runner.CfmlRunConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.codeInsight.intention.impl.ExpandStaticImportAction,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.codeInsight.daemon.GutterIconDescriptor$Option[],0.00%,16,1,16,0.00%,48,2,24,0.00%,16,1,16
com.intellij.codeHighlighting.TextEditorHighlightingPass[],0.00%,16,1,16,0.00%,96,2,48,0.00%,16,1,16
